name,text,back,face
my,"高校生活、それは 
 '人生で最も輝かしく、学業、部活、恋愛を謳歌する 充実した時間' 
(引用: wiki)",,
my,果たして本当にそうなのか？,,
my,自分の高校2年間は、そんな輝かしいものではなかった,,
my,学業は得意なスワヒリ語を除いては、全て赤点ギリギリ,,
my,"部活は「縄文研究部」に入っていたが、部内に「弥生派」がいることが
発覚し、廃部となった。",,
my,"恋愛は二次元ロリ派というのもあるせいか、恋人いない歴17年、
つまり　年齢イコールというやつだ。",,
my,自分の高校生活はお世辞にも「充実したもの」とは言えない,,
my,、、、、、、、、、、、、、、、、、、、、、、,,
my,"このままで終われるはずねーだろ、、、
'充実した高校生活'カモン!!!!  あくしろよ!!!",,
my,高校ラストイヤーの今年は、絶対に充実したものにしてやる、、、,,
my,絶対にだ。。。。。,,
my,"どうか、いい人と巡り会えますように、
お願いします。何でもしますから",,
my,ガラガラガラ〜〜〜（ドアを開ける音）,,
